,İlan Numarası,İlan Oluşturma Tarihi,İlan Güncelleme Tarihi,Türü,Kategorisi,Tipi,Net Metrekare,Brüt Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat,Binanın Kat Sayısı,Isıtma Tipi,Kullanım Durumu,Yapı Durumu,Yapı Tipi,Aidat,Tapu Durumu,Site İçerisinde,Depozito,Takas,Banyo Sayısı,Balkon Durumu,WC Sayısı,Fiyat Durumu,Price,Location,link,Eşya Durumu,Ada,Parsel,Balkon Sayısı,Balkon Tipi,Görüntülü Gezilebilir mi?,Banyo Metrekare,Balkon Metrekare,Salon Metrekare,WC Metrekare
10,17280284,04 Mayıs 2025,04 Mayıs 2025,Konut,Kiralık,Daire,75 m²,120 m²,1+1,5-10,Bahçe Katı,26,Merkezi (Pay Ölçer),Boş,,,,Tapu Kaydı Yok,Evet,,Yok,2,,,Genel Fiyat,50.000TL, Gaziosmanpaşa - Karadeniz Mahallesi,https://www.emlakjet.com//ilan/i23-den-aylik-odeme-avm-cephe-ozel-saunali-buyuk-m2-dubleks-11-17280284/,Eşyalı,,,,,,,,,
11,17280283,04 Mayıs 2025,04 Mayıs 2025,Konut,Kiralık,Daire,62 m²,92 m²,1+1,5-10,23.Kat,24,Merkezi (Pay Ölçer),Kiracı Oturuyor,,,,Kat Mülkiyeti,Evet,,Yok,1,,,Genel Fiyat,38.000TL, Gaziosmanpaşa - Karadeniz Mahallesi,https://www.emlakjet.com//ilan/i-23-den-veneziada-full-esyali-avm-cephe-buyuk-m2-kiralik-11-17280283/,Eşyalı,,,,,,,,,
12,17280269,04 Mayıs 2025,04 Mayıs 2025,Konut,Kiralık,Daire,90 m²,105 m²,2+1,21 Ve Üzeri,3.Kat,7,Kombi Doğalgaz,Kiracı Oturuyor,,,150 TL,Kat Mülkiyeti,Hayır,26000 TL,,1,Var,,Genel Fiyat,26.000TL, Şişli - Fulya Mahallesi,https://www.emlakjet.com//ilan/fuyada-21-kombili-kat-3-17280269/,,1,343,3,"Açık Balkon, Kapalı Balkon",,,,,
13,17280267,04 Mayıs 2025,04 Mayıs 2025,Konut,Kiralık,Daire,70 m²,80 m²,1 Oda,5-10,3.Kat,14,Merkezi (Pay Ölçer),Boş,,,,Tapu Kaydı Yok,Evet,,,1,,,Genel Fiyat,8.000TL, Esenyurt - Pınar Mahallesi,https://www.emlakjet.com//ilan/acil-ful-esyali-10-site-ici-kiralik-daire-17280267/,,,,,,,,,,
14,17280083,04 Mayıs 2025,04 Mayıs 2025,Konut,Kiralık,Daire,80 m²,90 m²,2+1,21 Ve Üzeri,2.Kat,3,Kombi Doğalgaz,Boş,İkinci El,Betonarme,,Bilinmiyor,Hayır,,Yok,1,,,Genel Fiyat,14.500TL, Büyükçekmece - Ulus Mahallesi,https://www.emlakjet.com//ilan/buyukcekmece-ulus-mah-21-net-80-m2-kiralik-daire-17280083/,,,,,,,,,,
15,17280082,04 Mayıs 2025,04 Mayıs 2025,Konut,Kiralık,Daire,80 m²,90 m²,2+1,21 Ve Üzeri,3.Kat,3,Kombi Doğalgaz,Boş,İkinci El,Betonarme,,Bilinmiyor,Hayır,,Yok,1,,,Genel Fiyat,13.500TL, Büyükçekmece - Ulus Mahallesi,https://www.emlakjet.com//ilan/buyukcekmece-ulus-mah-21-net-80-m2-kiralik-daire-17280082/,,,,,,,,,,
16,17279968,04 Mayıs 2025,04 Mayıs 2025,Konut,Kiralık,Daire,85 m²,90 m²,2+1,21 Ve Üzeri,4.Kat,5,Kombi Doğalgaz,Boş,,,,Tapu Kaydı Yok,Hayır,23000 TL,,1,Var,,Genel Fiyat,23.000TL, Bahçelievler - Şirinevler Mahallesi,https://www.emlakjet.com//ilan/s-evler-merkezde-metrobuse-3dk-21-90m2-ankastreli-klimali-full-yapili-daire-17279968/,Boş,,,,,,,,,
17,17279943,04 Mayıs 2025,04 Mayıs 2025,Konut,Kiralık,Daire,105 m²,120 m²,3+1,16-20,5.Kat,12,Kombi Doğalgaz,Boş,,,,Kat İrtifakı,Evet,,,1,,,Genel Fiyat,42.000TL, Kağıthane - Nurtepe Mahallesi,https://www.emlakjet.com//ilan/umut-emlaktan-sadabad-eksioglu-kiralik-temiz-daire-17279943/,,,12585,,,,,,,
18,17279931,04 Mayıs 2025,04 Mayıs 2025,Konut,Kiralık,Daire,130 m²,140 m²,3+1,16-20,8.Kat,13,Kombi Doğalgaz,Boş,İkinci El,Betonarme,800 TL,Bilinmiyor,Hayır,,Yok,2,,,Genel Fiyat,26.000TL, Esenyurt - Cumhuriyet Mahallesi,https://www.emlakjet.com//ilan/cumhuriyet-mah-tezyuva-sitesi-muhtesem-konum-31-kiralik-daire-17279931/,,,,,,,,,,
19,17279880,04 Mayıs 2025,04 Mayıs 2025,Konut,Kiralık,Daire,77 m²,85 m²,2+1,16-20,3.Kat,4,Kombi Doğalgaz,Boş,,,200 TL,Kat İrtifakı,Hayır,24000 TL,,1,,,Genel Fiyat,24.000TL, Gaziosmanpaşa - Merkez Mahallesi,https://www.emlakjet.com//ilan/gaziosmanpasa-merkez-mah-yeni-pazar-yerinde-kiralarik-21-daire-17279880/,,1310,9,,,,,,,
20,17279660,04 Mayıs 2025,04 Mayıs 2025,Konut,Kiralık,Daire,180 m²,215 m²,4+2,5-10,5.Kat,5,Kombi Doğalgaz,Boş,İkinci El,Betonarme,250 TL,Kat Mülkiyeti,Hayır,38000 TL,Yok,2,Var,2,Genel Fiyat,30.000TL, Gaziosmanpaşa - Bağlarbaşı Mahallesi,https://www.emlakjet.com//ilan/gaziosmanpasa-baglarbasi-mah-kiralik-180m2-42-dublex-daire-yeni-bina-17279660/,Boş,1467,12,2,Kapalı Balkon,Evet,4 m²,4 m²,30 m²,4 m²
21,17279659,04 Mayıs 2025,04 Mayıs 2025,Konut,Kiralık,Daire,75 m²,85 m²,2+1,21 Ve Üzeri,Yüksek Giriş,3,Kombi Doğalgaz,Boş,,,100 TL,Kat Mülkiyeti,Hayır,18500 TL,,1,Var,,Genel Fiyat,18.500TL, Fatih - Sümbül Efendi Mahallesi,https://www.emlakjet.com//ilan/fatih-kocamustafapasa-sumbulefendi-alifakih-de-kiralik-yuksek-giris-17279659/,,1310,12,1,Açık Balkon,,,,,
22,17279509,04 Mayıs 2025,04 Mayıs 2025,Konut,Kiralık,Daire,80 m²,85 m²,2+1,21 Ve Üzeri,Yüksek Giriş,4,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Hayır,21000 TL,,1,,,Genel Fiyat,21.000TL, Eyüpsultan - Silahtarağa Mahallesi,https://www.emlakjet.com//ilan/aydin-team-den-silahtaraga-21-balkonlu-aydinlik-manzarali-daire-17279509/,,749,19,,,,,,,
23,17279493,04 Mayıs 2025,04 Mayıs 2025,Konut,Kiralık,Daire,55 m²,65 m²,1+1,21 Ve Üzeri,3.Kat,5,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Hayır,,Yok,1,,,Genel Fiyat,16.000TL, Avcılar - Merkez Mahallesi,https://www.emlakjet.com//ilan/kosk-emlaktan-merkezde-ful-esyali-ara-kat-temiz-daire-17279493/,Eşyalı,,,,,,,,,
24,17279416,04 Mayıs 2025,04 Mayıs 2025,Konut,Kiralık,Daire,80 m²,85 m²,2+1,11-15,2.Kat,4,Kombi Doğalgaz,Boş,,,0 TL,Tapu Kaydı Yok,Hayır,25000 TL,,1,Var,,Genel Fiyat,25.000TL, Sultangazi - Uğur Mumcu Mahallesi,https://www.emlakjet.com//ilan/cadde-uzeri-21-85m-gobek-daire-asansorlu-17279416/,,,,,,,,,,
25,17279129,04 Mayıs 2025,04 Mayıs 2025,Konut,Kiralık,Daire,85 m²,90 m²,2+1,11-15,Yüksek Giriş,3,Kombi Doğalgaz,Boş,,,,Kat İrtifakı,Hayır,13000 TL,,1,Var,,Birim Fiyat,13.000TL, Esenyurt - Yeşilkent Mahallesi,https://www.emlakjet.com//ilan/yesilkent-mahallesinde-kiralik-yuksek-giris-17279129/,Boş,1097,26,2,,,,,20 m²,
26,17278975,04 Mayıs 2025,04 Mayıs 2025,Konut,Kiralık,Daire,100 m²,120 m²,3+1,21 Ve Üzeri,Yüksek Giriş,6,Kombi Doğalgaz,Boş,,,800 TL,Kat İrtifakı,Evet,16000 TL,,1,Var,2,Genel Fiyat,16.000TL, Esenyurt - Yeşilkent Mahallesi,https://www.emlakjet.com//ilan/site-ici-kiralik-daire-17278975/,Boş,2946,30,2,Açık Balkon,,,,,
27,17278968,04 Mayıs 2025,04 Mayıs 2025,Konut,Kiralık,Daire,52 m²,65 m²,1+1,0 (Yeni),10.Kat,20,Yerden Isıtma,Boş,Sıfır,Betonarme,2719 TL,Tapu Kaydı Yok,Hayır,76000 TL,Yok,1,Var,1,Genel Fiyat,38.000TL, Kadıköy - Merdivenköy Mahallesi,https://www.emlakjet.com//ilan/fikirtepe-emlak-konut-19-etapta-11-daire-17278968/,Boş,,,,,Hayır,,,,
28,17278900,04 Mayıs 2025,04 Mayıs 2025,Konut,Kiralık,Daire,135 m²,145 m²,3+1,5-10,3.Kat,5,Kombi Doğalgaz,Boş,İkinci El,Betonarme,300 TL,Kooperatiften Tapu,Hayır,30000 TL,Yok,1,Var,1,Genel Fiyat,27.000TL, Üsküdar - Selami Ali Mahallesi,https://www.emlakjet.com//ilan/sahibinden-kiralik-daire05532436-6-9-2-arayiniz-17278900/,Boş,,,1,Kapalı Balkon,Evet,,,,
29,17278800,04 Mayıs 2025,04 Mayıs 2025,Konut,Kiralık,Daire,119 m²,120 m²,3+1,21 Ve Üzeri,2.Kat,4,Kombi Doğalgaz,Boş,,,0 TL,Tapu Kaydı Yok,Hayır,19500 TL,,1,Var,,Genel Fiyat,19.500TL, Sultangazi - İsmetpaşa Mahallesi,https://www.emlakjet.com//ilan/31-kiralik-2-kat-120-metre-aciklama-okuyun-17278800/,,,,2,Kapalı Teras,,,,,
30,17278443,04 Mayıs 2025,04 Mayıs 2025,Konut,Kiralık,Daire,60 m²,80 m²,1+1,3,19.Kat,19,Merkezi (Pay Ölçer),Boş,,,,Tapu Kaydı Yok,Evet,,Yok,1,,,Genel Fiyat,28.000TL, Bağcılar - Mahmutbey Mahallesi,https://www.emlakjet.com//ilan/gul-proje-de-temiz-esyali-11-kiralik-daire-17278443/,Eşyalı,,,,,,,,,
31,17278397,04 Mayıs 2025,04 Mayıs 2025,Konut,Kiralık,Daire,50 m²,60 m²,1+1,5-10,3.Kat,11,Merkezi (Pay Ölçer),Boş,,,,Kat Mülkiyeti,Hayır,,,1,,,Genel Fiyat,29.500TL, Sancaktepe - Emek Mahallesi,https://www.emlakjet.com//ilan/seeworld-sinpas-aqua-city-2010-11-kiralik-aquacity-17278397/,,,1958,,,,,,,
32,17278382,04 Mayıs 2025,04 Mayıs 2025,Konut,Kiralık,Daire,70 m²,80 m²,2+1,21 Ve Üzeri,Yüksek Giriş,4,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Evet,,Yok,1,,,Genel Fiyat,18.500TL, Eyüpsultan - Akşemsettin Mahallesi,https://www.emlakjet.com//ilan/murat-emlak-tan-site-ici-alperen-cad-21-cift-balkonlu-kiralik-17278382/,Boş,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.emlakjet.com//ilan/guvenli-guzel-evim-kiralik-17278088/,,,,,,,,,,
34,17278021,04 Mayıs 2025,04 Mayıs 2025,Konut,Kiralık,Daire,229 m²,270 m²,4+2,21 Ve Üzeri,3.Kat,25,Kombi Doğalgaz,Kiracı Oturuyor,İkinci El,,,Bilinmiyor,Hayır,,Yok,Yok,,,Genel Fiyat,40.000TL, Küçükçekmece - Cumhuriyet Mahallesi,https://www.emlakjet.com//ilan/cumhuriyet-mahallesi-nde-ferah-dubleks-daire-17278021/,,,,,,,,,,
35,17277985,04 Mayıs 2025,04 Mayıs 2025,Konut,Kiralık,Daire,115 m²,135 m²,3+1,21 Ve Üzeri,1.Kat,7,Kombi Doğalgaz,Boş,İkinci El,Betonarme,500 TL,Bilinmiyor,Hayır,,Yok,1,,,Genel Fiyat,30.000TL, Kartal - Atalar Mahallesi,https://www.emlakjet.com//ilan/atalarin-merkezinde-genis-kullanisli-31-17277985/,,,,,,,,,,
36,17277961,04 Mayıs 2025,04 Mayıs 2025,Konut,Kiralık,Daire,115 m²,130 m²,3+1,0 (Yeni),5.Kat,6,Yerden Isıtma,Boş,,,,Kat Mülkiyeti,Evet,,Yok,2,,,Genel Fiyat,85.000TL, Üsküdar - Çengelköy Mahallesi,https://www.emlakjet.com//ilan/nefes-cengelkoy-sitesi-31-kiralik-ara-kat-daire-bogaz-manzarali-17277961/,Boş,,,,,,,,,
37,17277940,04 Mayıs 2025,04 Mayıs 2025,Konut,Kiralık,Daire,50 m²,60 m²,1+1,5-10,5.Kat,5,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Hayır,,Yok,1,,,Genel Fiyat,23.000TL, Kağıthane - Merkez Mahallesi,https://www.emlakjet.com//ilan/metro-duragina-cok-yakin-11-17277940/,Eşyalı,,,,,,,,,
38,17277895,04 Mayıs 2025,04 Mayıs 2025,Konut,Kiralık,Daire,70 m²,80 m²,1+1,21 Ve Üzeri,Çatı Katı,5,Kombi Doğalgaz,Boş,İkinci El,Betonarme,150 TL,Bilinmiyor,Hayır,,Yok,1,,,Genel Fiyat,23.000TL, Üsküdar - Zeynep Kamil Mahallesi,https://www.emlakjet.com//ilan/zeynepkamil-11-kombili-masrafsiz-kiralik-daire-17277895/,,,,,,,,,,
39,17277737,04 Mayıs 2025,04 Mayıs 2025,Konut,Kiralık,Daire,92 m²,127 m²,2+1,0 (Yeni),15.Kat,25,Merkezi (Pay Ölçer),Boş,,,,Kat İrtifakı,Evet,,Yok,2,,,Genel Fiyat,35.000TL, Büyükçekmece - Çakmaklı Mahallesi,https://www.emlakjet.com//ilan/demir-life-21-gol-ve-deniz-manzarali-kiralik-daire-17277737/,Boş,,,,,,,,,
40,17277674,04 Mayıs 2025,04 Mayıs 2025,Konut,Kiralık,Daire,130 m²,150 m²,3+1,11-15,2.Kat,7,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Evet,,Yok,2,,,Genel Fiyat,40.000TL, Ümraniye - Necip Fazıl Mahallesi,https://www.emlakjet.com//ilan/clk-dan-akkent-sitesin-de-gun-boyu-isik-alan-ferah-31-daire-17277674/,Boş,,,,,,,,,
41,17277634,04 Mayıs 2025,04 Mayıs 2025,Konut,Kiralık,Daire,80 m²,117 m²,2+1,0 (Yeni),Bahçe Katı,11,Merkezi (Pay Ölçer),Boş,,,,Kat İrtifakı,Evet,,Yok,2,,,Genel Fiyat,37.000TL, Tuzla - Yayla Mahallesi,https://www.emlakjet.com//ilan/bahce-verandali-e-banyolu-net-80m2-kiralik-21-landmark-gyh-17277634/,Boş,,,,,,,,,
42,17277534,04 Mayıs 2025,04 Mayıs 2025,Konut,Kiralık,Daire,70 m²,80 m²,2+1,5-10,Düz Giriş (Zemin),4,Kombi Doğalgaz,Boş,,,,Kat İrtifakı,Hayır,,Yok,1,,,Genel Fiyat,17.500TL, Beylikdüzü - Yakuplu Mahallesi,https://www.emlakjet.com//ilan/kisa-katli-masrafsiz-hemen-tasin-kullanisli-21-17277534/,Boş,,,,,,,,,
43,17277500,04 Mayıs 2025,04 Mayıs 2025,Konut,Kiralık,Daire,80 m²,90 m²,3+1,11-15,Bahçe Katı,3,Kombi Doğalgaz,Kiracı Oturuyor,,,,Arsa Tapulu,Hayır,,Yok,2,,,Genel Fiyat,21.000TL, Ataşehir - İnönü Mahallesi,https://www.emlakjet.com//ilan/b-ataturk-cad-ebeveynli-bahceli-aileye-ferah-31-kiralik-daire-17277500/,Boş,,,,,,,,,
44,17277498,04 Mayıs 2025,04 Mayıs 2025,Konut,Kiralık,Daire,40 m²,45 m²,1+1,5-10,Yüksek Giriş,4,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Hayır,,Yok,1,,,Genel Fiyat,20.000TL, Ataşehir - İnönü Mahallesi,https://www.emlakjet.com//ilan/yeditepe-universitesine-yakin-11-kiralik-esyali-daire-17277498/,Eşyalı,,,,,,,,,
45,17277447,04 Mayıs 2025,04 Mayıs 2025,Konut,Kiralık,Daire,70 m²,85 m²,2+1,5-10,13.Kat,14,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Evet,,Yok,1,,,Genel Fiyat,16.000TL, Silivri - Yeni Mahallesi,https://www.emlakjet.com//ilan/silivri-kiptas-2-sitesinde-kiralik-21-daire-17277447/,Boş,,,,,,,,,
46,17277395,04 Mayıs 2025,04 Mayıs 2025,Konut,Kiralık,Daire,70 m²,82 m²,2+1,0 (Yeni),4.Kat,7,Merkezi (Pay Ölçer),Boş,,,,Kat İrtifakı,Evet,,Yok,1,,,Genel Fiyat,30.000TL, Tuzla - Yayla Mahallesi,https://www.emlakjet.com//ilan/yayla-mahallesi-kiralik-17277395/,Boş,,,,,,,,,
47,17277362,04 Mayıs 2025,04 Mayıs 2025,Konut,Kiralık,Daire,55 m²,78 m²,1+1,5-10,2.Kat,17,Merkezi (Pay Ölçer),Boş,,,,Kat Mülkiyeti,Evet,,Yok,1,,,Genel Fiyat,25.000TL, Küçükçekmece - Atakent Mahallesi,https://www.emlakjet.com//ilan/ege-yakasi-karsiyaka-rezidans-gol-manzarali-kiralik-11-daire-17277362/,Boş,,,,,,,,,
48,17277361,04 Mayıs 2025,04 Mayıs 2025,Konut,Kiralık,Daire,76 m²,82 m²,1+1,16-20,2.Kat,17,Merkezi Doğalgaz,Boş,İkinci El,Betonarme,4942 TL,Bilinmiyor,Hayır,,Yok,1,,,Genel Fiyat,38.000TL, Bahçelievler - Çobançeşme Mahallesi,https://www.emlakjet.com//ilan/nish-istanbul-82-m2-11-kiralik-ofis-17277361/,,,,,,,,,,
49,17277314,04 Mayıs 2025,04 Mayıs 2025,Konut,Kiralık,Daire,70 m²,75 m²,2+1,5-10,2.Kat,7,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Hayır,,Yok,1,,,Genel Fiyat,32.500TL, Kağıthane - Gürsel Mahallesi,https://www.emlakjet.com//ilan/gursel-mahallesinde-21-kiralik-daire-17277314/,Boş,,,,,,,,,
50,17277285,04 Mayıs 2025,04 Mayıs 2025,Konut,Kiralık,Daire,110 m²,125 m²,3+1,21 Ve Üzeri,3.Kat,5,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Hayır,,Yok,1,,,Genel Fiyat,27.500TL, Fatih - Ali Kuşçu Mahallesi,https://www.emlakjet.com//ilan/cift-balkonlu-iki-cephe-acik-17277285/,Boş,,,,,,,,,
51,17277184,04 Mayıs 2025,04 Mayıs 2025,Konut,Kiralık,Daire,60 m²,78 m²,1+1,5-10,1.Kat,9,Merkezi (Pay Ölçer),Boş,,,,Kat Mülkiyeti,Evet,,Yok,1,,,Genel Fiyat,24.000TL, Pendik - Yenişehir Mahallesi,https://www.emlakjet.com//ilan/t-park-s-gokcen-ve-lens-e-komsu-terasli-full-esyali-11-kiralik-17277184/,Eşyalı,,,,,,,,,
52,17277121,04 Mayıs 2025,04 Mayıs 2025,Konut,Kiralık,Daire,72 m²,82 m²,2+1,0 (Yeni),2.Kat,5,Kombi Doğalgaz,Boş,,,,Kat İrtifakı,Hayır,,Yok,2,,,Genel Fiyat,20.000TL, Sultanbeyli - Akşemsettin Mahallesi,https://www.emlakjet.com//ilan/heradan-viaport-avm-ye-komsu-21-arakat-daire-17277121/,Boş,,,,,,,,,
53,17277005,04 Mayıs 2025,04 Mayıs 2025,Konut,Kiralık,Daire,60 m²,70 m²,1+1,21 Ve Üzeri,1.Kat,3,Kombi Doğalgaz,Boş,,,,Arsa Tapulu,Hayır,,Yok,1,,,Genel Fiyat,25.000TL, Kağıthane - Emniyet Evleri Mahallesi,https://www.emlakjet.com//ilan/4-levent-emniyet-evlerinde-full-esyali-11-kiralik-daire-17277005/,Eşyalı,,,,,,,,,
54,17277003,04 Mayıs 2025,04 Mayıs 2025,Konut,Kiralık,Daire,110 m²,130 m²,3+1,21 Ve Üzeri,4.Kat,4,Kombi Doğalgaz,Boş,,,,Arsa Tapulu,Hayır,,Yok,1,,,Genel Fiyat,25.000TL, Kağıthane - Emniyet Evleri Mahallesi,https://www.emlakjet.com//ilan/4-levent-emniyetevlerinde-kismi-esyali-31-kiralik-daire-17277003/,Eşyalı,,,,,,,,,
55,17276944,04 Mayıs 2025,04 Mayıs 2025,Konut,Kiralık,Daire,180 m²,200 m²,4+2,21 Ve Üzeri,4.Kat,4,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Hayır,,Yok,2,,,Genel Fiyat,45.000TL, Fatih - Seyyid Ömer Mahallesi,https://www.emlakjet.com//ilan/kocamustafapasa-kirimli-aziz-sk-deniz-manzarali-esyali-dubleks-17276944/,Eşyalı,,,,,,,,,
56,17276941,04 Mayıs 2025,04 Mayıs 2025,Konut,Kiralık,Daire,75 m²,85 m²,2+1,4,5.Kat,6,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Hayır,,Yok,1,,,Genel Fiyat,17.000TL, Esenyurt - Orhan Gazi Mahallesi,https://www.emlakjet.com//ilan/orhangazi-mah-de-kapali-otoparkli-butik-sitede-kiralik-21-daire-17276941/,Boş,,,,,,,,,
57,17276911,04 Mayıs 2025,04 Mayıs 2025,Konut,Kiralık,Daire,65 m²,75 m²,1+1,21 Ve Üzeri,Bodrum Kat,5,Merkezi (Pay Ölçer),Boş,,,,Kat Mülkiyeti,Evet,,Yok,1,,,Genel Fiyat,33.000TL, Bakırköy - Ataköy 7,https://www.emlakjet.com//ilan/atakoy-7-8-gazi-sitesi-kiralik-11-65-m2-daire-17276911/,Boş,,,,,,,,,
58,17276692,03 Mayıs 2025,03 Mayıs 2025,Konut,Kiralık,Daire,150 m²,180 m²,5+1,5-10,4.Kat,5,Kombi Doğalgaz,Boş,İkinci El,Betonarme,1 TL,Bilinmiyor,Hayır,,Yok,2,,,Genel Fiyat,95.000TL, Maltepe - Altıntepe Mahallesi,https://www.emlakjet.com//ilan/f-l-emlaktan-kadikoy-bostanci-da-150-m2-bogaz-mazarali-dublex-daire-17276692/,,,,,,,,,,
